chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-5261.571929,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.01,-5207.73237,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.02,-5155.379422,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.03,-5104.49457,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.04,-5055.059504,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.05,-5007.055664,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.06,-4960.464246,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.07,-4915.265188,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.08,-4871.435392,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.09,-4828.944839,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.1,-4787.748831,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.11,-4747.772348,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.12,-4708.879602,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.13,-4670.816264,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.14,-4633.103174,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.15,-4594.848545,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.16,-4554.434482,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.17,-4509.041815,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.18,-4454.064698,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.19,-4382.782753,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.2,-4287.448707,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.21,-4163.965359,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.22,-4020.677161,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.23,-3882.463456,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.24,-3776.370204,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.25,-3711.458631,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.26,-3679.896704,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.27,-3670.409619,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.28,-3675.00702,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.29,-3689.040553,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.3,-3709.819172,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.31,-3735.655578,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.32,-3765.391602,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.33,-3798.177556,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.34,-3833.363955,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.35,-3870.442167,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.36,-3909.007807,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.37,-3948.735816,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.38,-3989.362831,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.39,-4030.674218,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.4,-4072.494342,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.41,-4114.679136,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.42,-4157.110325,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.43,-4199.691096,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.44,-4242.342489,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.45,-4285.000485,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.46,-4327.607951,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.47,-11138.98374,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.48,-11314.44366,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.49,-11486.79661,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.5,-11656.13998,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.51,-11822.56191,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.52,-11986.14342,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.53,-12146.95917,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.54,-12305.07807,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.55,-12460.56332,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.56,-12613.47358,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.57,-12763.86272,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.58,-12911.7802,8,fluB,-3672.330348,-3670.409619,0.27,0.273
0.59,-13057.27134,8,fluB,-3672.330348,-3670.409619,0.27,0.273
