"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-6489.96128630593,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.01,-6428.15706279591,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.02,-6367.50480827906,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.03,-6308.00018338899,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.04,-6249.6386214057,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.05,-6192.41511935469,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.06,-6136.32441322807,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.07,-6081.36102664697,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.08,-6027.51917286507,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.09,-5974.79280159173,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.1,-5923.17562130502,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.11,-5872.66106306444,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.12,-5823.24233973632,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.13,-5774.91242349857,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.14,-5727.66407894856,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.15,-5681.48985108835,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.16,-5636.38204949119,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.17,-5592.33282555068,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.18,-5549.33410097226,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.19,-5507.37770380589,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.2,-5466.45519976462,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.21,-5426.5580145491,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.22,-5387.67742062981,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.23,-5349.80455203606,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.24,-5312.930316691,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.25,-5277.0456640659,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
0.26,-5242.14123826145,7,"fluA",-4443.12668167548,-4441.20595226514,0.6,0.61
